Ticker,industry,sector,averageVolume,averageVolume10days,marketCap
VOYA,Financial Conglomerates,Financial Services,1142303,503920,7062687232
VMC,Building Materials,Basic Materials,789832,870120,29717397504
WTI,Oil & Gas E&P,Energy,2214937,1772820,566804032
WNC,Farm & Heavy Construction Machinery,Industrials,654745,617250,1237328768
WAB,Railroads,Industrials,1014142,1080410,19668785152
WMT,Discount Stores,Consumer Defensive,5843780,5528880,426007265280
WD,Mortgage Finance,Financial Services,237300,296560,2681576448
DIS,Entertainment,Communication Services,12592500,12675750,165370642432
WCN,Waste Management,Industrials,856418,780230,36410830848
WM,Waste Management,Industrials,1461798,1210100,69728428032
WAT,Diagnostics & Research,Healthcare,565952,483300,15630325760
WSO,Industrial Distribution,Industrials,382040,365870,14660794368
WTS,Specialty Industrial Machinery,Industrials,113621,105920,6156045312
WPP,Advertising Agencies,Communication Services,106836,147530,11446992896
W,Internet Retail,Consumer Cyclical,5430080,4505280,7670598144
WBS,Banks—Regional,Financial Services,1325349,885790,6694480896
WTW,Insurance Brokers,Financial Services,515913,620040,24845305856
WMK,Grocery Stores,Consumer Defensive,118596,141750,1758617344
WFC,Banks—Diversified,Financial Services,21613047,15141510,162846343168
WCC,Industrial Distribution,Industrials,814490,706610,9122350080
WST,Medical Instruments & Supplies,Healthcare,408972,331590,28088201216
WAL,Banks—Regional,Financial Services,7230129,2088540,4105192704
WES,Oil & Gas Midstream,Energy,818785,1002810,10326913024
WU,Credit Services,Financial Services,5763172,4066870,4388765184
WLK,Specialty Chemicals,Basic Materials,483708,483500,15365423104
WHG,Asset Management,Financial Services,9626,9010,113296640
WEX,Software—Infrastructure,Technology,313214,295840,7844132352
WY,REIT—Specialty,Real Estate,4237590,4786440,24561209344
WHR,"Furnishings, Fixtures & Appliances",Consumer Cyclical,741270,606460,8167688704
WTM,Insurance—Property & Casualty,Financial Services,9665,8210,3547358976
WSR,REIT—Retail,Real Estate,326021,344780,490177504
WMB,Oil & Gas Midstream,Energy,7040081,8189960,39859175424
WSM,Specialty Retail,Consumer Cyclical,1027747,995820,8158813696
WGO,Recreational Vehicles,Consumer Cyclical,448068,624760,2028641792
WIT,Information Technology Services,Technology,1912542,1708620,26334605312
WEC,Utilities—Regulated Electric,Utilities,1369718,1290880,28174655488
WNS,Information Technology Services,Technology,349836,472920,3552100608
WWW,Footwear & Accessories,Consumer Cyclical,919706,705850,1187518848
WF,Banks—Regional,Financial Services,40977,30250,6715121664
WDAY,Software—Application,Technology,2081768,1855550,58617987072
INT,Oil & Gas Refining & Marketing,Energy,589158,1760388,1507251968
WWE,Entertainment,Communication Services,835027,549350,8086382080
WOR,Metal Fabrication,Industrials,157509,295460,3462251520
WPC,REIT—Diversified,Real Estate,1054195,1339790,14660431872
WRB,Insurance—Property & Casualty,Financial Services,1714877,1058990,15563053056
WH,Lodging,Consumer Cyclical,1111619,843770,5834458624
GWW,Industrial Distribution,Industrials,275573,245390,39258685440
X,Steel,Basic Materials,6723254,5707820,5706666496
XHR,REIT—Hotel & Motel,Real Estate,855077,963790,1464659968
XRX,Information Technology Services,Technology,1725711,1694300,2360648192
XIN,Real Estate—Development,Real Estate,159731,11220,18256936
XPO,Trucking,Industrials,2149363,1989250,6903918592
XYL,Specialty Industrial Machinery,Industrials,2230500,1382080,26771654656
YALA,Software—Application,Technology,170159,139830,689014016
YSG,Household & Personal Products,Consumer Defensive,1298060,790190,553472320
YELP,Internet Content & Information,Communication Services,676185,472720,2514659328
YETI,Leisure,Consumer Cyclical,1083527,1214770,3366317568
YEXT,Software—Infrastructure,Technology,1895903,1941770,1400287360
YPF,Oil & Gas Integrated,Energy,1867913,2498640,11755134976
YUM,Restaurants,Consumer Cyclical,1761827,1863940,38447546368
YUMC,Restaurants,Consumer Cyclical,1623065,1355230,23986253824
ZH,Internet Content & Information,Communication Services,2906734,2928070,816445952
ZIM,Marine Shipping,Industrials,3947670,2265770,1538355200
ZBH,Medical Devices,Healthcare,1442032,1100700,29754376192
ZION,Banks—Regional,Financial Services,6024093,3090070,4167561728
ZUO,Software—Infrastructure,Technology,943227,864830,1533082496
ZTS,Drug Manufacturers—Specialty & Generic,Healthcare,1917822,1835500,78665326592
ZYME,Biotechnology,Healthcare,603573,1229120,550589760
